"ID","Key","Value"
"VS01","Level","0"
"VS01","Code","VS01"
"VS01","Value Proposition","Provides advanced education, accredited qualifications, and a transformative learning experience that enables personal growth and career advancement."
"VS01","Value Stream Pattern","MTS"
"VS01.1","Level","1"
"VS01.1","Code","VS01.1"
"VS01.1.1","Level","2"
"VS01.1.1","Code","VS01.1.1"
"VS01.1.1","Sequence","1"
"VS01.1.2","Level","2"
"VS01.1.2","Code","VS01.1.2"
"VS01.1.2","Sequence","2"
"VS01.1.3","Level","2"
"VS01.1.3","Code","VS01.1.3"
"VS01.1.3","Sequence","3"
"VS01.2","Level","1"
"VS01.2","Code","VS01.2"
"VS01.2.1","Level","2"
"VS01.2.1","Code","VS01.2.1"
"VS01.2.1","Sequence","4"
"VS01.2.2","Level","2"
"VS01.2.2","Code","VS01.2.2"
"VS01.2.2","Sequence","5"
"VS01.2.3","Level","2"
"VS01.2.3","Code","VS01.2.3"
"VS01.2.3","Sequence","6"
"VS02","Level","0"
"VS02","Code","VS02"
"VS02","Value Proposition","Delivers high-impact, rigorously executed research that advances knowledge, addresses strategic priorities, and provides a return on investment through discovery and innovation."
"VS02","Value Stream Pattern","MTS"
"VS02.1","Level","1"
"VS02.1","Code","VS02.1"
"VS02.1.1","Level","2"
"VS02.1.1","Code","VS02.1.1"
"VS02.1.1","Sequence","1"
"VS02.1.2","Level","2"
"VS02.1.2","Code","VS02.1.2"
"VS02.1.2","Sequence","2"
"VS02.1.3","Level","2"
"VS02.1.3","Code","VS02.1.3"
"VS02.1.3","Sequence","3"
"VS02.2","Level","1"
"VS02.2","Code","VS02.2"
"VS02.2.1","Level","2"
"VS02.2.1","Code","VS02.2.1"
"VS02.2.1","Sequence","4"
"VS02.2.2","Level","2"
"VS02.2.2","Code","VS02.2.2"
"VS02.2.2","Sequence","5"
"VS02.2.3","Level","2"
"VS02.2.3","Code","VS02.2.3"
"VS02.2.3","Sequence","6"
"VS03","Level","0"
"VS03","Code","VS03"
