"ID","Key","Value"
"C0","Level","0"
"C0","Code","C0"
"C1_1","Level","1"
"C1_1","Code","C1_1"
"C1_2","Level","1"
"C1_2","Code","C1_2"
"C1_3","Level","1"
"C1_3","Code","C1_3"
"C1_4","Level","1"
"C1_4","Code","C1_4"
"C1_5","Level","1"
"C1_5","Code","C1_5"
"C2_1","Level","2"
"C2_1","Code","C2_1"
"C2_2","Level","2"
"C2_2","Code","C2_2"
"C2_3","Level","2"
"C2_3","Code","C2_3"
"C2_4","Level","2"
"C2_4","Code","C2_4"
"C2_5","Level","2"
"C2_5","Code","C2_5"
"C2_6","Level","2"
"C2_6","Code","C2_6"
"C2_7","Level","2"
"C2_7","Code","C2_7"
"C2_8","Level","2"
"C2_8","Code","C2_8"
"C2_9","Level","2"
"C2_9","Code","C2_9"
"C2_10","Level","2"
"C2_10","Code","C2_10"
"C2_11","Level","2"
"C2_11","Code","C2_11"
"C2_12","Level","2"
"C2_12","Code","C2_12"
"C2_13","Level","2"
"C2_13","Code","C2_13"
"C2_14","Level","2"
"C2_14","Code","C2_14"
"C2_15","Level","2"
"C2_15","Code","C2_15"
"C2_16","Level","2"
"C2_16","Code","C2_16"
"C2_17","Level","2"
"C2_17","Code","C2_17"
"C2_18","Level","2"
"C2_18","Code","C2_18"
"C2_19","Level","2"
"C2_19","Code","C2_19"
"C2_20","Level","2"
"C2_20","Code","C2_20"
"C2_21","Level","2"
"C2_21","Code","C2_21"
"BO0","Level","0"
"BO0","Code","BO0"
"BO1_1","Level","1"
"BO1_1","Code","BO1_1"
"BO1_2","Level","1"
"BO1_2","Code","BO1_2"
"BO1_3","Level","1"
"BO1_3","Code","BO1_3"
"BO1_4","Level","1"
"BO1_4","Code","BO1_4"
"BO1_5","Level","1"
"BO1_5","Code","BO1_5"
"BO2_1","Level","2"
"BO2_1","Code","BO2_1"
"BO2_2","Level","2"
"BO2_2","Code","BO2_2"
"BO2_3","Level","2"
"BO2_3","Code","BO2_3"
"BO2_4","Level","2"
"BO2_4","Code","BO2_4"
"BO2_5","Level","2"
"BO2_5","Code","BO2_5"
"BO2_6","Level","2"
"BO2_6","Code","BO2_6"
"BO2_7","Level","2"
"BO2_7","Code","BO2_7"
"BO2_8","Level","2"
"BO2_8","Code","BO2_8"
"BO2_9","Level","2"
"BO2_9","Code","BO2_9"
"BO2_10","Level","2"
"BO2_10","Code","BO2_10"
"BO2_11","Level","2"
"BO2_11","Code","BO2_11"
"BO2_12","Level","2"
"BO2_12","Code","BO2_12"
"BO2_13","Level","2"
"BO2_13","Code","BO2_13"
"BO2_14","Level","2"
"BO2_14","Code","BO2_14"
"BO2_15","Level","2"
"BO2_15","Code","BO2_15"
"BO2_16","Level","2"
"BO2_16","Code","BO2_16"
"BO2_17","Level","2"
"BO2_17","Code","BO2_17"
"BO2_18","Level","2"
"BO2_18","Code","BO2_18"
"BO2_19","Level","2"
"BO2_19","Code","BO2_19"
"BO2_20","Level","2"
"BO2_20","Code","BO2_20"
"BO2_21","Level","2"
"BO2_21","Code","BO2_21"
"BO2_22","Level","2"
"BO2_22","Code","BO2_22"
"BO2_23","Level","2"
"BO2_23","Code","BO2_23"
"BO2_24","Level","2"
"BO2_24","Code","BO2_24"
"BO2_25","Level","2"
"BO2_25","Code","BO2_25"
"BO2_26","Level","2"
"BO2_26","Code","BO2_26"
"BO2_27","Level","2"
"BO2_27","Code","BO2_27"
"BO2_28","Level","2"
"BO2_28","Code","BO2_28"
"BO2_29","Level","2"
"BO2_29","Code","BO2_29"
"BO2_30","Level","2"
"BO2_30","Code","BO2_30"
"BO2_31","Level","2"
"BO2_31","Code","BO2_31"
"BO2_32","Level","2"
"BO2_32","Code","BO2_32"
"BO2_33","Level","2"
"BO2_33","Code","BO2_33"
"BO2_34","Level","2"
"BO2_34","Code","BO2_34"
"VS0_1","Level","0"
"VS0_1","Code","VS0_1"
"VS0_1","Value Proposition","Provision of advanced education, leading to a recognized academic credential that enhances career prospects, personal growth, and access to a professional network."
"VS0_1","Value Stream Pattern","MTS"
"VS0_2","Level","0"
"VS0_2","Code","VS0_2"
"VS0_2","Value Proposition","Rigorous execution of research projects to generate novel knowledge, solve complex problems, and deliver a measurable return on investment, whether societal, technological, or commercial."
"VS0_2","Value Stream Pattern","MTS"
"VS0_3","Level","0"
"VS0_3","Code","VS0_3"
"VS0_3","Value Proposition","Provision of advanced education, leading to a recognized academic credential that enhances career prospects, personal growth, and access to a professional network."
"VS0_3","Value Stream Pattern","ATO"
"VS0_4","Level","0"
"VS0_4","Code","VS0_4"
"VS0_4","Value Proposition","Rigorous execution of research projects to generate novel knowledge, solve complex problems, and deliver a measurable return on investment, whether societal, technological, or commercial."
"VS0_4","Value Stream Pattern","ETO"
"VS0_5","Level","0"
"VS0_5","Code","VS0_5"
"VS0_5","Value Proposition","A supply of highly skilled graduates, access to cutting-edge innovation and expert knowledge, and the commercialization of new technologies that drive economic growth and social progress."
"VS0_5","Value Stream Pattern","ETO"
"VS1_1","Level","1"
"VS1_1","Code","VS1_1"
"VS1_2","Level","1"
"VS1_2","Code","VS1_2"
"VS1_3","Level","1"
"VS1_3","Code","VS1_3"
"VS1_4","Level","1"
"VS1_4","Code","VS1_4"
"VS1_5","Level","1"
"VS1_5","Code","VS1_5"
"VS1_6","Level","1"
"VS1_6","Code","VS1_6"
"VS1_7","Level","1"
"VS1_7","Code","VS1_7"
"VS1_8","Level","1"
"VS1_8","Code","VS1_8"
"VS1_9","Level","1"
"VS1_9","Code","VS1_9"
"VS1_10","Level","1"
"VS1_10","Code","VS1_10"
"VS2_1","Level","2"
"VS2_1","Code","VS2_1"
"VS2_1","Sequence","1"
"VS2_2","Level","2"
"VS2_2","Code","VS2_2"
"VS2_2","Sequence","2"
"VS2_3","Level","2"
"VS2_3","Code","VS2_3"
"VS2_3","Sequence","3"
"VS2_4","Level","2"
"VS2_4","Code","VS2_4"
"VS2_4","Sequence","4"
"VS2_5","Level","2"
"VS2_5","Code","VS2_5"
"VS2_5","Sequence","5"
"VS2_6","Level","2"
"VS2_6","Code","VS2_6"
"VS2_6","Sequence","1"
"VS2_7","Level","2"
"VS2_7","Code","VS2_7"
"VS2_7","Sequence","2"
"VS2_8","Level","2"
"VS2_8","Code","VS2_8"
"VS2_8","Sequence","3"
"VS2_9","Level","2"
"VS2_9","Code","VS2_9"
"VS2_9","Sequence","4"
"VS2_10","Level","2"
"VS2_10","Code","VS2_10"
"VS2_10","Sequence","5"
"VS2_11","Level","2"
"VS2_11","Code","VS2_11"
"VS2_11","Sequence","1"
"VS2_12","Level","2"
"VS2_12","Code","VS2_12"
"VS2_12","Sequence","2"
"VS2_13","Level","2"
"VS2_13","Code","VS2_13"
"VS2_13","Sequence","3"
"VS2_14","Level","2"
"VS2_14","Code","VS2_14"
"VS2_14","Sequence","4"
"VS2_15","Level","2"
"VS2_15","Code","VS2_15"
"VS2_15","Sequence","5"
"VS2_16","Level","2"
"VS2_16","Code","VS2_16"
"VS2_16","Sequence","6"
"VS2_17","Level","2"
"VS2_17","Code","VS2_17"
"VS2_17","Sequence","7"
"VS2_18","Level","2"
"VS2_18","Code","VS2_18"
"VS2_18","Sequence","8"
"VS2_19","Level","2"
"VS2_19","Code","VS2_19"
"VS2_19","Sequence","1"
"VS2_20","Level","2"
"VS2_20","Code","VS2_20"
"VS2_20","Sequence","2"
"VS2_21","Level","2"
"VS2_21","Code","VS2_21"
"VS2_21","Sequence","3"
"VS2_22","Level","2"
"VS2_22","Code","VS2_22"
"VS2_22","Sequence","4"
"VS2_23","Level","2"
"VS2_23","Code","VS2_23"
"VS2_23","Sequence","5"
"VS2_24","Level","2"
"VS2_24","Code","VS2_24"
"VS2_24","Sequence","6"
"VS2_25","Level","2"
"VS2_25","Code","VS2_25"
"VS2_25","Sequence","7"
"VS2_26","Level","2"
"VS2_26","Code","VS2_26"
"VS2_26","Sequence","8"
"VS2_27","Level","2"
"VS2_27","Code","VS2_27"
"VS2_27","Sequence","1"
"VS2_28","Level","2"
"VS2_28","Code","VS2_28"
"VS2_28","Sequence","2"
"VS2_29","Level","2"
"VS2_29","Code","VS2_29"
"VS2_29","Sequence","3"
"VS2_30","Level","2"
"VS2_30","Code","VS2_30"
"VS2_30","Sequence","4"
"VS2_31","Level","2"
"VS2_31","Code","VS2_31"
"VS2_31","Sequence","5"
"VS2_32","Level","2"
"VS2_32","Code","VS2_32"
"VS2_32","Sequence","6"
