"ID","Key","Value"
"VS-001","Level","0"
"VS-001","Code","VS-001"
"VS-001","Value Proposition","World-class education, prestigious credentials, and career opportunities through cutting-edge knowledge and research-led teaching."
"VS-001","Value Stream Pattern","MTS"
"VS-002","Level","0"
"VS-002","Code","VS-002"
"VS-002","Value Proposition","Access to leading experts, state-of-the-art facilities, and the generation of novel intellectual property to solve complex problems and drive innovation."
"VS-002","Value Stream Pattern","MTS"
"VS-003","Level","0"
"VS-003","Code","VS-003"
"VS-003","Value Proposition","World-class education, prestigious credentials, and career opportunities through cutting-edge knowledge and research-led teaching."
"VS-003","Value Stream Pattern","ATO"
"VS-004","Level","0"
"VS-004","Code","VS-004"
"VS-004","Value Proposition","Access to leading experts, state-of-the-art facilities, and the generation of novel intellectual property to solve complex problems and drive innovation."
"VS-004","Value Stream Pattern","ETO"
"VS-005","Level","0"
"VS-005","Code","VS-005"
"VS-005","Value Proposition","A continuous stream of skilled graduates, groundbreaking discoveries that advance human knowledge, and solutions to societal challenges."
"VS-005","Value Stream Pattern","ATO"
"VS-006","Level","1"
"VS-006","Code","VS-006"
"VS-007","Level","1"
"VS-007","Code","VS-007"
"VS-008","Level","2"
"VS-008","Code","VS-008"
"VS-008","Sequence","1"
"VS-009","Level","2"
"VS-009","Code","VS-009"
"VS-009","Sequence","2"
"VS-010","Level","2"
"VS-010","Code","VS-010"
"VS-010","Sequence","3"
"VS-011","Level","2"
"VS-011","Code","VS-011"
"VS-011","Sequence","4"
"VS-012","Level","2"
"VS-012","Code","VS-012"
"VS-012","Sequence","5"
"VS-013","Level","2"
"VS-013","Code","VS-013"
"VS-013","Sequence","6"
"VS-014","Level","1"
"VS-014","Code","VS-014"
"VS-015","Level","1"
"VS-015","Code","VS-015"
"VS-016","Level","2"
"VS-016","Code","VS-016"
"VS-016","Sequence","1"
"VS-017","Level","2"
"VS-017","Code","VS-017"
"VS-017","Sequence","2"
"VS-018","Level","2"
"VS-018","Code","VS-018"
"VS-018","Sequence","3"
"VS-019","Level","2"
"VS-019","Code","VS-019"
"VS-019","Sequence","4"
"VS-020","Level","2"
"VS-020","Code","VS-020"
"VS-020","Sequence","5"
"VS-021","Level","1"
"VS-021","Code","VS-021"
"VS-022","Level","1"
"VS-022","Code","VS-022"
"VS-023","Level","1"
"VS-023","Code","VS-023"
"VS-024","Level","2"
"VS-024","Code","VS-024"
"VS-024","Sequence","1"
"VS-025","Level","2"
"VS-025","Code","VS-025"
"VS-025","Sequence","2"
"VS-026","Level","2"
"VS-026","Code","VS-026"
"VS-026","Sequence","3"
"VS-027","Level","2"
"VS-027","Code","VS-027"
"VS-027","Sequence","4"
"VS-028","Level","2"
"VS-028","Code","VS-028"
"VS-028","Sequence","5"
"VS-029","Level","2"
"VS-029","Code","VS-029"
"VS-029","Sequence","6"
"VS-030","Level","2"
"VS-030","Code","VS-030"
"VS-030","Sequence","7"
"VS-031","Level","2"
